Date,Close/Last,Volume,Open,High,Low
12/23/2025,622.11,41120450,618.20,622.41,617.78
12/22/2025,619.21,43703100,621.35,621.65,617.77
12/19/2025,617.05,60369830,611.95,617.62,611.87
12/18/2025,609.11,78875820,609.80,612.93,606.92
12/17/2025,600.41,70654330,613.06,613.65,600.28
12/16/2025,611.75,55152820,608.26,613.51,606.9101
12/15/2025,610.54,49538200,618.37,618.42,609.32
12/12/2025,613.62,75158730,622.08,623.54,611.36
12/11/2025,625.58,58272840,623.82,625.78,617.72
12/10/2025,627.61,55031380,623.85,629.21,620.99
12/09/2025,625.05,37156000,623.01,625.87,621.00
12/08/2025,624.28,43462410,627.21,628.84,621.69
12/05/2025,625.48,53614170,624.38,628.92,623.71
12/04/2025,622.94,47067750,624.93,624.94,619.54
12/03/2025,623.52,47841630,619.62,624.22,618.03
12/02/2025,622.00,54541830,619.46,623.75,617.59
12/01/2025,617.17,40957590,613.63,619.4401,612.52
11/28/2025,619.25,23034390,616.11,619.32,615.4174
11/26/2025,614.27,42393600,612.51,616.19,610.39
11/25/2025,608.89,57560870,603.51,610.2601,597.32
11/24/2025,605.16,60168150,595.28,606.68,595.16
11/21/2025,590.07,103344200,587.47,596.98,580.74
11/20/2025,585.67,117743200,611.62,614.03,584.75
11/19/2025,599.87,73111490,597.07,606.16,594.59
11/18/2025,596.31,83327280,599.62,602.31,591.34
11/17/2025,603.66,63850370,606.30,612.48,599.87
11/14/2025,608.86,80087290,599.55,613.35,597.17
11/13/2025,608.40,71333630,617.54,618.12,606.08
11/12/2025,621.08,47444380,624.84,624.86,617.81
11/11/2025,621.57,44868840,620.57,622.72,617.52
11/10/2025,623.23,55919930,618.92,624.31,616.89
11/07/2025,609.74,81835390,608.31,609.95,598.67
11/06/2025,611.67,72115130,621.79,622.04,610.30
11/05/2025,623.28,48688480,618.49,626.60,617.21
11/04/2025,619.25,63830770,623.28,626.95,618.455
11/03/2025,632.08,37154310,635.11,635.82,629.85
10/31/2025,629.07,66305150,634.17,634.20,626.69
10/30/2025,626.05,61628620,632.17,633.50,625.94
10/29/2025,635.77,67422810,635.59,637.01,630.25
10/28/2025,632.92,61195730,630.36,634.68,629.25
10/27/2025,628.09,54098610,624.52,628.55,624.03
10/24/2025,617.10,47632470,615.99,618.42,615.13
10/23/2025,610.58,42844300,604.91,611.37,604.52
10/22/2025,605.49,61478800,610.82,611.41,599.74
10/21/2025,611.38,44538160,611.64,612.7213,609.32
10/20/2025,611.54,45761700,607.14,612.80,607.065
10/17/2025,603.93,72024870,597.95,605.51,596.37
10/16/2025,599.99,70981960,605.11,608.31,595.50
10/15/2025,602.22,62805460,604.01,606.70,595.93
10/14/2025,598.00,69203190,595.31,602.69,590.13
10/13/2025,602.01,65872580,599.68,602.95,597.23
10/10/2025,589.50,97614780,611.40,613.18,589.05
10/09/2025,610.70,45550960,611.48,611.61,607.48
10/08/2025,611.44,50629750,605.41,611.75,605.26
10/07/2025,604.51,58209460,609.02,609.71,603.03
10/06/2025,607.71,41962120,608.45,609.36,605.97
10/03/2025,603.18,46482100,606.51,607.3255,601.385
10/02/2025,605.73,43765410,607.06,607.16,602.93
10/01/2025,603.25,46899610,597.17,603.79,596.34
09/30/2025,600.37,46533810,598.43,600.71,596.10
09/29/2025,598.73,48332930,599.11,602.05,597.41
09/26/2025,595.97,54337420,594.35,596.30,591.06
09/25/2025,593.53,70920210,592.20,595.115,588.50
09/24/2025,596.10,49850300,599.58,599.90,593.36
09/23/2025,598.20,64635490,602.37,602.57,596.98
09/22/2025,602.20,57154770,597.74,602.87,597.72
09/19/2025,599.35,58196110,597.33,600.05,595.85
09/18/2025,595.32,61069290,594.91,598.14,592.96
09/17/2025,590.00,69384820,591.10,591.75,584.365
09/16/2025,591.18,36942130,592.61,592.86,590.49
09/15/2025,591.68,44360320,588.44,591.79,588.295
09/12/2025,586.66,50745890,585.04,587.86,584.10
09/11/2025,584.08,44745770,583.24,584.88,581.62
09/10/2025,580.70,49307960,583.74,583.77,578.55
09/09/2025,580.51,44007590,579.67,580.94,577.04
09/08/2025,578.87,46371350,578.37,580.84,577.77
09/05/2025,576.06,68342530,580.49,581.12,571.53
09/04/2025,575.23,47526280,570.74,575.60,569.025
09/03/2025,570.07,54230210,569.23,571.695,566.725
09/02/2025,565.62,65876770,561.31,565.965,559.535
08/29/2025,570.40,56030410,574.655,575.03,568.54
08/28/2025,577.08,46787860,574.11,578.00,572.46
08/27/2025,573.49,36927140,571.59,574.405,570.37
08/26/2025,572.61,34103010,569.83,572.92,568.80
08/25/2025,570.32,34044750,570.40,573.2871,569.16
08/22/2025,571.97,51502130,564.67,573.99,563.27
08/21/2025,563.28,46436900,564.35,566.49,560.98
08/20/2025,565.90,76781090,568.33,568.45,558.84
08/19/2025,569.28,53752640,576.39,576.56,568.25
08/18/2025,577.11,29830960,576.44,577.765,575.2412
08/15/2025,577.34,49480160,579.80,579.84,575.5743
08/14/2025,579.89,45425040,578.28,581.88,577.91
08/13/2025,580.34,41209290,582.76,583.3199,578.94
08/12/2025,580.05,42271440,575.16,580.35,572.485
08/11/2025,572.85,33112920,574.69,576.80,571.57
08/08/2025,574.55,35255470,570.45,574.77,570.15
08/07/2025,569.24,44462970,571.67,573.32,565.11
08/06/2025,567.32,41823680,561.11,567.76,560.63
08/05/2025,560.27,48666640,565.39,566.5607,559.73
08/04/2025,564.10,47669750,559.05,564.315,558.95
08/01/2025,553.88,69400790,558.83,559.02,551.68
07/31/2025,565.01,64613590,574.54,574.63,563.87
07/30/2025,568.02,43433780,568.18,570.62,565.05
07/29/2025,567.26,45463320,570.76,572.11,566.53
07/28/2025,568.14,31498740,567.74,569.04,566.87
07/25/2025,566.37,30630810,564.93,567.695,564.27
07/24/2025,565.01,42275540,565.13,566.24,563.295
07/23/2025,563.81,40215260,562.34,563.85,559.58
07/22/2025,561.25,43270650,564.30,564.35,558.61
07/21/2025,564.17,39595210,562.09,566.06,562.06
07/18/2025,561.26,50484700,563.12,564.7262,559.98
07/17/2025,561.80,40423780,558.02,562.31,557.21
07/16/2025,557.29,52314710,557.28,560.21,551.56
07/15/2025,556.72,43277660,560.25,560.80,556.66
07/14/2025,556.21,36453310,553.99,556.945,551.63
07/11/2025,554.20,39618640,553.30,555.79,552.05
07/10/2025,555.45,34710910,556.89,557.30,552.75
07/09/2025,556.25,43045530,554.48,557.63,553.10
07/08/2025,552.34,36153260,553.38,554.01,551.10
07/07/2025,552.03,45349320,553.52,554.34,549.58
07/03/2025,556.22,26443520,553.18,557.20,553.18
07/02/2025,550.80,36538280,546.16,551.00,546.12
07/01/2025,546.99,56166740,549.73,550.71,544.66
06/30/2025,551.64,45548740,551.26,552.80,549.01
06/27/2025,548.09,57577150,547.26,549.99,544.545
06/26/2025,546.22,43811430,543.35,546.67,541.52
06/25/2025,541.16,44804170,542.06,543.31,539.38
06/24/2025,539.78,45441980,536.89,540.70,536.27
06/23/2025,531.65,50666150,526.81,532.17,523.65
