Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,450.09,466.05,442.22,459.97,30585993.553283,,,
2026-06-02 04:00:00,488.79,488.82,470.459,481.57,38306651.787033,,,
2026-06-03 04:00:00,494.775,495.0,472.64,479.23,50126446.123571,,,
2026-06-04 04:00:00,408.99,426.48,403.0101,418.91,80979446.453929,,,
2026-06-05 04:00:00,407.605,410.5,385.59,385.73,51146089.45615,,,
2026-06-08 04:00:00,402.62,402.838,391.35,396.6,37098978.742738,,,
2026-06-09 04:00:00,401.61,407.87,370.33,392.16,37026896.703106,,,
2026-06-10 04:00:00,381.495,385.81,371.165,372.1,38193450.753244,,,
2026-06-11 04:00:00,372.82,389.5,370.55,385.57,35187584.127449,,,
2026-06-12 04:00:00,383.72,384.9799,377.0,382.07,27630074.358455,,,
2026-06-15 04:00:00,395.51,396.2,388.6,393.94,32394178.973807,,,
2026-06-16 04:00:00,390.21,391.79,376.46,376.71,31573669.098469,,,
2026-06-17 04:00:00,388.705,400.65,382.65,392.9,40005503.031461,,,
2026-06-18 04:00:00,409.58,412.7,405.38,411.35,45076052.261939,,,
2026-06-22 04:00:00,413.66,414.64,391.91,392.13,26403669.219061,,,36.57909313919442
2026-06-23 04:00:00,377.865,391.02,376.6637,380.15,33122248.134339,,,29.14198749588681
2026-06-24 04:00:00,386.62,388.74,376.96,382.07,29938732.549952,,,29.983518747424796
2026-06-25 04:00:00,386.575,388.799,372.7,378.91,23412031.684882,,,39.22065322841436
2026-06-26 04:00:00,370.45,373.69,363.83,365.02,34839253.771121,,,43.771428571428565
2026-06-29 04:00:00,373.615,376.2099,360.46,372.45,24285239.751676,399.977,,42.583379399299794
