Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,215.73,224.87,215.7,224.36,212850685.062286,,,
2026-06-02 04:00:00,227.18,232.28,221.35,222.82,193362903.350246,,,
2026-06-03 04:00:00,221.72,222.82,214.51,214.75,160907001.706774,,,
2026-06-04 04:00:00,213.905,221.6,210.97,218.66,169022152.423913,,,
2026-06-05 04:00:00,214.53,214.87,204.33,205.1,219655531.955688,,,
2026-06-08 04:00:00,210.18,210.47,206.0,208.64,138372837.455275,,,
2026-06-09 04:00:00,210.615,211.4,199.34,208.19,180962450.330624,,,
2026-06-10 04:00:00,204.43,207.22,199.92,200.42,161746587.544386,,,
2026-06-11 04:00:00,201.49,205.66,199.54,204.87,158643204.463725,,,
2026-06-12 04:00:00,204.86,207.07,203.4385,205.19,112345314.67054,,,
2026-06-15 04:00:00,208.92,212.7107,208.34,212.45,149936688.832444,,,
2026-06-16 04:00:00,211.18,211.49,207.29,207.41,125694100.720295,,,
2026-06-17 04:00:00,208.53,209.21,203.08,204.65,128363473.654605,,,
2026-06-18 04:00:00,207.33,211.39,206.5,210.69,241272013.819691,,,
2026-06-22 04:00:00,211.44,213.99,207.72,208.65,122041419.397038,,,38.23220973782771
2026-06-23 04:00:00,202.17,203.77,200.0,200.04,153496196.521155,,,34.570577079382275
2026-06-24 04:00:00,200.12,201.67,196.58,199.0,151810704.804531,,,38.20931277137296
2026-06-25 04:00:00,200.08,200.8,192.13,195.74,150205647.15959,,,32.67311762927123
2026-06-26 04:00:00,193.12,195.55,191.22,192.53,179304147.317041,,,38.734540240186405
2026-06-29 04:00:00,193.85,196.18,189.8,194.97,148835724.034918,206.9565,,37.5022856098007
