Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,825.25,931.85,806.62,905.0,7932745.055195,,,
2026-06-02 04:00:00,935.13,1035.0,935.012,1029.15,8154611.749219,,,
2026-06-03 04:00:00,1029.075,1049.53,932.5,938.0,6202151.544535,,,
2026-06-04 04:00:00,900.1,955.4768,864.2001,945.08,6060883.723896,,,
2026-06-05 04:00:00,912.62,974.0,853.1,863.66,7543933.849103,,,
2026-06-08 04:00:00,899.79,914.0,841.93,895.4,5097078.573582,,,
2026-06-09 04:00:00,908.12,913.9999,776.01,821.76,7966067.472861,,,
2026-06-10 04:00:00,833.695,884.18,825.66,853.26,5839496.431084,,,
2026-06-11 04:00:00,863.0,890.8,840.52,889.59,4672235.753585,,,
2026-06-12 04:00:00,889.425,934.26,863.0,921.56,4563159.230784,,,
2026-06-15 04:00:00,965.98,998.5,923.95,957.24,5266081.061088,,,
2026-06-16 04:00:00,958.475,961.68,863.41,875.36,6070807.836491,,,
2026-06-17 04:00:00,879.08,891.545,853.78,869.98,5148177.946553,,,
2026-06-18 04:00:00,881.975,888.54,831.17,850.0,8360832.210616,,,
2026-06-22 04:00:00,852.52,906.18,829.0,893.93,6909893.924937,,,49.20454708765072
2026-06-23 04:00:00,832.15,856.6,812.8,827.92,4817064.396055,,,34.22195737740908
2026-06-24 04:00:00,825.0,866.43,803.24,842.53,4452726.74218,,,41.49336184620868
2026-06-25 04:00:00,887.25,899.53,810.24,861.97,4529350.043595,,,42.75426758033861
2026-06-26 04:00:00,822.55,824.855,774.3001,816.98,9121981.601827,,,45.65427869218738
2026-06-29 04:00:00,806.01,852.78,754.0,851.4,5604162.189486,885.4885,,45.92411442122425
