Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,559.52,579.97,552.59,569.61,2894237.126112,,,
2026-06-02 04:00:00,583.58,629.61,581.6302,627.0,2725851.221953,,,
2026-06-03 04:00:00,628.51,637.51,609.79,620.37,2654015.819374,,,
2026-06-04 04:00:00,552.39,552.39,491.0,535.63,7611820.30107,,,
2026-06-05 04:00:00,512.31,525.15,488.14,488.21,4195421.37874,,,
2026-06-08 04:00:00,489.775,493.09,457.79,466.67,5635282.600543,,,
2026-06-09 04:00:00,465.91,467.6,417.34,439.34,7863859.65677,,,
2026-06-10 04:00:00,442.0,450.78,424.45,434.65,3869932.404175,,,
2026-06-11 04:00:00,441.66,451.1,430.82,445.22,3000405.414644,,,
2026-06-12 04:00:00,445.22,458.47,440.71,445.98,2665183.859266,,,
2026-06-15 04:00:00,469.95,479.51,447.625,463.41,3955900.218227,,,
2026-06-16 04:00:00,458.73,463.55,426.6183,430.3,4210629.695156,,,
2026-06-17 04:00:00,433.0,449.0,424.3339,436.72,2883827.300565,,,
2026-06-18 04:00:00,450.8,451.6,425.08,428.22,4297293.869937,,,
2026-06-22 04:00:00,437.825,461.5,430.5133,460.33,3863828.355184,,,34.76466651795671
2026-06-23 04:00:00,437.0,467.89,432.49,459.85,3816527.016583,,,22.301395287177286
2026-06-24 04:00:00,449.36,480.59,440.7001,463.51,2801981.071278,,,23.74815905743739
2026-06-25 04:00:00,477.42,494.53,451.56,484.69,3558877.353665,,,39.17091836734694
2026-06-26 04:00:00,466.33,493.26,457.7,479.5,8736146.878716,,,47.74317251386226
2026-06-29 04:00:00,476.1,482.46,435.12,478.93,4074918.135051,482.907,,53.563953488372086
