Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,464.84,466.32,458.27,460.52,53628910.017535,,,
2026-06-02 04:00:00,446.88,453.5,440.43,441.31,37036801.506484,,,
2026-06-03 04:00:00,438.45,440.39,424.25,427.34,39037007.174846,,,
2026-06-04 04:00:00,435.81,436.15,426.41,428.05,26899511.802233,,,
2026-06-05 04:00:00,428.34,429.47,414.4,416.67,34782164.985064,,,
2026-06-08 04:00:00,414.14,417.1599,408.56,411.74,32086714.635587,,,
2026-06-09 04:00:00,409.03,411.98,398.48,403.41,35317302.699492,,,
2026-06-10 04:00:00,398.55,405.04,397.16,397.36,32576041.704457,,,
2026-06-11 04:00:00,395.205,396.85,384.0,390.34,47224135.068075,,,
2026-06-12 04:00:00,391.43,391.74,382.27,390.74,34922036.300172,,,
2026-06-15 04:00:00,396.795,401.75,392.845,399.76,32266437.464578,,,
2026-06-16 04:00:00,395.79,396.84,390.69,393.83,31506846.820523,,,
2026-06-17 04:00:00,390.25,390.37,377.32,378.91,41987834.385072,,,
2026-06-18 04:00:00,377.82,381.37,373.28,379.4,59714157.698213,,,
2026-06-22 04:00:00,375.74,381.63,367.07,367.34,45171106.404419,,,9.281594126900885
2026-06-23 04:00:00,372.38,377.22,370.67,373.94,40647605.362972,,,16.913859149395947
2026-06-24 04:00:00,371.57,378.88,364.78,365.46,44509854.593955,,,17.8779069767442
2026-06-25 04:00:00,362.77,364.23,349.2,352.83,66360473.423776,,,15.253141167775297
2026-06-26 04:00:00,357.15,376.61,355.43,372.97,186201631.567178,,,31.32478632478633
2026-06-29 04:00:00,377.5,380.5,359.9,368.57,51229885.197175,396.0245,,31.467330643084054
