Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,309.625,310.94,305.02,306.31,48849933.693351,,,
2026-06-02 04:00:00,307.46,315.45,306.685,315.2,44534716.420134,,,
2026-06-03 04:00:00,314.175,316.94,308.85,310.26,50836705.186145,,,
2026-06-04 04:00:00,313.23,313.54,309.65,311.23,44869134.400348,,,
2026-06-05 04:00:00,312.86,315.17,307.15,307.34,65310502.632512,,,
2026-06-08 04:00:00,308.739,317.4,301.17,301.54,77949082.219335,,,
2026-06-09 04:00:00,300.275,300.75,287.78,290.55,70108847.597585,,,
2026-06-10 04:00:00,290.74,294.75,287.38,291.58,52793266.201966,,,
2026-06-11 04:00:00,293.72,297.0,289.59,295.63,42572497.853978,,,
2026-06-12 04:00:00,296.03,297.14,289.62,291.13,38784789.576708,,,
2026-06-15 04:00:00,294.12,297.78,291.7,296.42,45732573.320234,,,
2026-06-16 04:00:00,295.245,300.48,293.97,299.24,39874404.494416,,,
2026-06-17 04:00:00,300.845,302.07,294.36,295.95,42745060.273941,,,
2026-06-18 04:00:00,298.11,300.57,295.62,298.01,85962201.899097,,,
2026-06-22 04:00:00,297.31,302.42,296.76,297.01,44879914.64568,,,42.18749999999999
2026-06-23 04:00:00,297.538,301.64,294.18,294.3,52010929.893368,,,30.408698912635955
2026-06-24 04:00:00,295.355,299.7,292.94,293.08,53081859.943258,,,32.68843208383717
2026-06-25 04:00:00,287.4,288.8,273.75,275.15,107253659.652143,,,22.90477620907177
2026-06-26 04:00:00,275.0,285.95,274.21,283.78,261775450.225352,,,33.482893998878296
2026-06-29 04:00:00,286.73,288.3697,279.85,281.74,66427002.269936,296.7725,,35.346358792184716
