Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,500.16,517.5,486.8,510.13,33309248.17109,,,
2026-06-02 04:00:00,506.3,522.49,501.22,521.54,24293209.615476,,,
2026-06-03 04:00:00,533.75,546.44,524.3001,542.52,29411149.186162,,,
2026-06-04 04:00:00,514.75,532.19,499.8701,523.2,29109999.793875,,,
2026-06-05 04:00:00,499.525,505.62,463.95,466.38,46900606.632907,,,
2026-06-08 04:00:00,485.0,494.97,477.71,490.33,25158813.229677,,,
2026-06-09 04:00:00,502.75,505.0,437.23,475.505,37799812.593263,,,
2026-06-10 04:00:00,467.97,477.4499,448.33,452.4,27777399.183852,,,
2026-06-11 04:00:00,461.6,490.46,458.02,488.45,30463082.001956,,,
2026-06-12 04:00:00,499.685,521.71,494.0,511.57,31618462.555915,,,
2026-06-15 04:00:00,535.75,558.37,530.5,547.26,33482425.394283,,,
2026-06-16 04:00:00,546.89,548.95,507.25,507.29,28411694.779194,,,
2026-06-17 04:00:00,529.655,532.5,507.3008,512.48,27085340.92688,,,
2026-06-18 04:00:00,531.58,539.69,526.315,537.37,43805645.768049,,,
2026-06-22 04:00:00,545.5,562.9899,535.7101,551.63,25983245.037072,,,55.93569426168545
2026-06-23 04:00:00,509.08,528.489,506.81,519.85,30196780.693781,,,49.77159075550751
2026-06-24 04:00:00,520.82,524.96,503.5,519.74,26548270.093758,,,46.73713761888393
2026-06-25 04:00:00,543.93,550.88,507.0,532.57,27115339.619064,,,51.36752386234274
2026-06-26 04:00:00,519.795,525.11,502.61,521.58,52705137.472081,,,59.30044480388193
2026-06-29 04:00:00,522.84,542.19,495.35,539.49,26671016.611062,513.56425,,58.45487066593286
